Absolute Zero,#0048BA
Acid Green,#B0BF1A
Aero,#7CB9E8
Aero Blue,#C9FFE5
African Violet,#B284BE
Air Force Blue (USAF),#00308F
Air Superiority Blue,#72A0C1
Alabama Crimson,#AF002A
Alabaster[Citation Needed],#F2F0E6
Alice Blue,#F0F8FF
Alien Armpit,#84DE02
Alizarin Crimson,#E32636
Alloy Orange,#C46210
Almond,#EFDECD
Amaranth,#E52B50
Amaranth Deep Purple,#9F2B68
Amaranth Pink,#F19CBB
Amaranth Purple,#AB274F
Amaranth Red,#D3212D
Amazon,#3B7A57
Amber,#FFBF00
Amber (SAE/ECE),#FF7E00
American Blue,#3B3B6D
American Bronze,#391802
American Brown,#804040
American Gold,#D3AF37
American Green,#34B334
American Orange,#FF8B00
American Pink,#FF9899
American Purple,#431C53
American Red,#B32134
American Rose,#FF033E
American Silver,#CFCFCF
American Violet,#551B8C
American Yellow,#F2B400
Amethyst,#9966CC
Android Green,#A4C639
Anti-Flash White,#F2F3F4
Antique Brass,#CD9575
Antique Bronze,#665D1E
Antique Fuchsia,#915C83
Antique Ruby,#841B2D
Antique White,#FAEBD7
Ao (English),#008000
Apple,#66B447
Apple Green,#8DB600
Apricot,#FBCEB1
Aqua,#00FFFF
Aquamarine,#7FFFD4
Arctic Lime,#D0FF14
Argent,#C0C0C0
Army Green,#4B5320
Arsenic,#3B444B
Artichoke,#8F9779
Arylide Yellow,#E9D66B
Ash Gray,#B2BEB5
Asparagus,#87A96B
Ateneo Blue,#003A6C
Atomic Tangerine,#FF9966
Auburn,#A52A2A
Aureolin,#FDEE00
AuroMetalSaurus,#6E7F80
Avocado,#568203
Awesome,#FF2052
Axolotl,#63775B
Aztec Gold,#C39953
Azure,#007FFF
Azure (Web Color),#F0FFFF
Azure Mist,#F0FFFF
Azureish White,#DBE9F4
B'dazzled Blue,#2E5894
Baby Blue,#89CFF0
Baby Blue Eyes,#A1CAF1
Baby Pink,#F4C2C2
Baby Powder,#FEFEFA
Baker-Miller Pink,#FF91AF
Ball Blue,#21ABCD
Banana Mania,#FAE7B5
Banana Yellow,#FFE135
Bangladesh Green,#006A4E
Barbie Pink,#E0218A
Barn Red,#7C0A02
Battery Charged Blue,#1DACD6
Battleship Grey,#848482
Bazaar,#98777B
Beau Blue,#BCD4E6
Beaver,#9F8170
Beer,#F28E1C
Begonia,#FA6E79
Beige,#F5F5DC
Big Dip O’ruby,#9C2542
Big Foot Feet,#E88E5A
Bisque,#FFE4C4
Bistre,#3D2B1F
Bistre Brown,#967117
Bitter Lemon,#CAE00D
Bitter Lime,#BFFF00
Bittersweet,#FE6F5E
Bittersweet Shimmer,#BF4F51
Black,#000000
Black Bean,#3D0C02
Black Chocolate,#1B1811
Black Coffee,#3B2F2F
Black Coral,#54626F
Black Leather Jacket,#253529
Black Olive,#3B3C36
Black Shadows,#BFAFB2
Blackberry,#8F5973
Blanched Almond,#FFEBCD
Blast-Off Bronze,#A57164
Bleu De France,#318CE7
Blizzard Blue,#ACE5EE
Blond,#FAF0BE
Blood,#8A0303
Blood (Animal),#A41313
Blood (Organ),#630F0F
Blood Orange,#D1001C
Blood Red,#660000
Blue,#0000FF
Blue (Crayola),#1F75FE
Blue (Munsell),#0093AF
Blue (NCS),#0087BD
Blue (Pantone),#0018A8
Blue (Pigment),#333399
Blue (RYB),#0247FE
Blue Bell,#A2A2D0
Blue Bolt,#00B9FB
Blue Cola,#0088DC
Blue Jeans,#5DADEC
Blue Lagoon,#ACE5EE
Blue Sapphire,#126180
Blue Yonder,#5072A7
Blue-Gray,#6699CC
Blue-Green,#0D98BA
Blue-Green (Color Wheel),#064E40
Blue-Magenta Violet,#553592
Blue-Violet,#8A2BE2
Blue-Violet (Color Wheel),#4D1A7F
Blue-Violet (Crayola),#7366BD
Blueberry,#4F86F7
Bluebonnet,#1C1CF0
Blush,#DE5D83
Bole,#79443B
Bondi Blue,#0095B6
Bone,#E3DAC9
Booger Buster,#DDE26A
Boston University Red,#CC0000
Bottle Green,#006A4E
Boy Red,#7365489
Boysenberry,#873260
Brandeis Blue,#0070FF
Brandy,#87413F
Brass,#B5A642
Brick Red,#CB4154
Bright Cerulean,#1DACD6
Bright Gray,#EBECF0
Bright Green,#66FF00
Bright Lavender,#BF94E4
Bright Lilac,#D891EF
Bright Maroon,#C32148
Bright Navy Blue,#1974D2
Bright Pink,#FF007F
Bright Turquoise,#08E8DE
Bright Ube,#D19FE8
Bright Yellow (Crayola),#FFAA1D
Brilliant Azure,#3399FF
Brilliant Lavender,#F4BBFF
Brilliant Rose,#FF55A3
Brink Pink,#FB607F
British Racing Green,#004225
Bronze,#88540B
Bronze,#CD7F32
Bronze (Metallic),#B08D57
Bronze Yellow,#737000
Brown,#993300
Brown (Crayola),#AF593E
Brown (Traditional),#964B00
Brown (Web),#A52A2A
Brown Chocolate,#5F1933
Brown Coffee,#4A2C2A
Brown Sugar,#AF6E4D
Brown Yellow,#CC9966
Brown-Nose,#6B4423
Brunswick Green,#1B4D3E
Bubble Gum,#FFC1CC
Bubbles,#E7FEFF
Bud Green,#7BB661
Buff,#F0DC82
Bulgarian Rose,#480607
Burgundy,#800020
Burlywood,#DEB887
Burnished Brown,#A17A74
Burnt Orange,#CC5500
Burnt Sienna,#E97451
Burnt Umber,#8A3324
Button Blue,#24A0ED
Byzantine,#BD33A4
Byzantium,#702963
Cadet,#536872
Cadet Blue,#5F9EA0
Cadet Blue (Crayola),#A9B2C3
Cadet Grey,#91A3B0
Cadmium Blue,#0A1195
Cadmium Green,#006B3C
Cadmium Orange,#ED872D
Cadmium Purple,#B60C26
Cadmium Red,#E30022
Cadmium Violet,#7F3E98
Cadmium Yellow,#FFF600
Café Au Lait,#A67B5B
Café Noir,#4B3621
Cal Poly Pomona Green,#1E4D2B
Calamansi,#FCFFA4
Cambridge Blue,#A3C1AD
Camel,#C19A6B
Cameo Pink,#EFBBCC
Camouflage Green,#78866B
Canary,#FFFF99
Canary Yellow,#FFEF00
Candy Apple Red,#FF0800
Candy Pink,#E4717A
Capri,#00BFFF
Caput Mortuum,#592720
Caramel,#FFD59A
Cardinal,#C41E3A
Caribbean Green,#00CC99
Carmine,#960018
Carmine (M&P),#D70040
Carmine Pink,#EB4C42
Carmine Red,#FF0038
Carnation Pink,#FFA6C9
Carnelian,#B31B1B
Carolina Blue,#56A0D3
Carrot Orange,#ED9121
Castleton Green,#00563F
Catalina Blue,#062A78
Catawba,#703642
Cedar Chest,#C95A49
Ceil,#92A1CF
Celadon,#ACE1AF
Celadon Blue,#007BA7
Celadon Green,#2F847C
Celeste,#B2FFFF
Celestial Blue,#4997D0
Celtic Blue,#246BCE
Cerise,#DE3163
Cerise Pink,#EC3B83
Cerulean,#007BA7
Cerulean (Crayola),#1DACD6
Cerulean Blue,#2A52BE
Cerulean Frost,#6D9BC3
Cetacean Blue,#001440
CG Blue,#007AA5
CG Red,#E03C31
Chamoisee,#A0785A
Champagne,#F7E7CE
Champagne Pink,#F1DDCF
Charcoal,#36454F
Charleston Green,#232B2B
Charm,#D0748B
Charm Pink,#E68FAC
Chartreuse (Traditional),#DFFF00
Chartreuse (Web),#7FFF00
Cheese,#FFA600
Cherry,#DE3163
Cherry Blossom Pink,#FFB7C5
Chestnut,#954535
China Pink,#DE6FA1
China Rose,#A8516E
Chinese Black,#141414
Chinese Blue,#365194
Chinese Bronze,#CD8032
Chinese Brown,#AB381F
Chinese Gold,#CC9900
Chinese Green,#D0DB61
Chinese Orange,#F37042
Chinese Pink,#DE70A1
Chinese Purple,#720B98
Chinese Red,#CD071E
Chinese Red,#AA381E
Chinese Silver,#CCCCCC
Chinese Violet,#856088
Chinese White,#E2E5DE
Chinese Yellow,#FFB200
Chlorophyll Green,#4AFF00
Chocolate (Traditional),#7B3F00
Chocolate (Web),#D2691E
Chocolate Brown,#3F000F
Chocolate Cosmos,#58111A
Chocolate Kisses,#3C1421
Chrome Yellow,#FFA700
Cinereous,#98817B
Cinnabar,#E34234
Cinnamon Satin,#CD607E
Cinnamon[Citation Needed],#D2691E
Citrine,#E4D00A
Citrine Brown,#933709
Citron,#9FA91F
Claret,#7F1734
Classic Rose,#FBCCE7
Cobalt Blue,#0047AB
Cocoa Brown,#D2691E
Coconut,#965A3E
Coffee,#6F4E37
Cola,#3C3024
Columbia Blue,#C4D8E2
Conditioner,#FFFFCC
Congo Pink,#F88379
Cookies And Cream,#EEE0B1
Cool Black,#002E63
Cool Grey,#8C92AC
Copper,#B87333
Copper (Crayola),#DA8A67
Copper Penny,#AD6F69
Copper Red,#CB6D51
Copper Rose,#996666
Coquelicot,#FF3800
Coral,#FF7F50
Coral Pink,#F88379
Coral Red,#FF4040
Coral Reef,#FD7C6E
Cordovan,#893F45
Corn,#FBEC5D
Cornell Red,#B31B1B
Cornflower,#93CCEA
Cornflower Blue,#6495ED
Cornsilk,#FFF8DC
Cosmic Cobalt,#2E2D88
Cosmic Latte,#FFF8E7
Cotton Candy,#FFBCD9
Coyote Brown,#81613C
Cream,#FFFDD0
Crimson,#DC143C
Crimson Glory,#BE0032
Crimson Red,#990000
Crystal,#A7D8DE
Crystal Blue,#68A0B0
Cultured,#F5F5F5
Cyan,#00FFFF
Cyan (Process),#00B7EB
Cyan Azure,#4E82B4
Cyan Cobalt Blue,#28589C
Cyan Cornflower Blue,#188BC2
Cyan-Blue Azure,#4682BF
Cyber Grape,#58427C
Cyber Yellow,#FFD300
Cyclamen,#F56FA1
Daffodil,#FFFF31
Dandelion,#F0E130
Dandelion (Crayola),#FDDB6D
Dark Blue,#00008B
Dark Blue-Gray,#666699
Dark Bronze,#804A00
Dark Bronze (Coin),#514100
Dark Brown,#654321
Dark Brown-Tangelo,#88654E
Dark Byzantium,#5D3954
Dark Candy Apple Red,#A40000
Dark Cerulean,#08457E
Dark Charcoal,#333333
Dark Chestnut,#986960
Dark Chocolate,#490206
Dark Chocolate (Hershey's),#3C1321
Dark Coral,#CD5B45
Dark Cornflower Blue,#26428B
Dark Cyan,#008B8B
Dark Electric Blue,#536878
Dark Gold,#AA6C39
Dark Goldenrod,#B8860B
Dark Gray (X11),#A9A9A9
Dark Green,#013220
Dark Green (X11),#006400
Dark Gunmetal,#1F262A
Dark Imperial Blue,#00416A
Dark Imperial Blue,#00147E
Dark Jungle Green,#1A2421
Dark Khaki,#BDB76B
Dark Lava,#483C32
Dark Lavender,#734F96
Dark Lemon Lime,#8BBE1B
Dark Liver,#534B4F
Dark Liver (Horses),#543D37
Dark Magenta,#8B008B
Dark Medium Gray,#A9A9A9
Dark Midnight Blue,#003366
Dark Moss Green,#4A5D23
Dark Olive Green,#556B2F
Dark Orange,#FF8C00
Dark Orchid,#9932CC
Dark Pastel Blue,#779ECB
Dark Pastel Green,#03C03C
Dark Pastel Purple,#966FD6
Dark Pastel Red,#C23B22
Dark Pink,#E75480
Dark Powder Blue,#003399
Dark Puce,#4F3A3C
Dark Purple,#301934
Dark Raspberry,#872657
Dark Red,#8B0000
Dark Salmon,#E9967A
Dark Scarlet,#560319
Dark Sea Green,#8FBC8F
Dark Sienna,#3C1414
Dark Silver,#71706E
Dark Sky Blue,#8CBED6
Dark Slate Blue,#483D8B
Dark Slate Gray,#2F4F4F
Dark Spring Green,#177245
Dark Tan,#918151
Dark Tangerine,#FFA812
Dark Taupe,#483C32
Dark Terra Cotta,#CC4E5C
Dark Turquoise,#00CED1
Dark Vanilla,#D1BEA8
Dark Violet,#9400D3
Dark Yellow,#9B870C
Dartmouth Green,#00703C
Davy's Grey,#555555
Debian Red,#D70A53
Deep Amethyst,#9C8AA4
Deep Aquamarine,#40826D
Deep Carmine,#A9203E
Deep Carmine Pink,#EF3038
Deep Carrot Orange,#E9692C
Deep Cerise,#DA3287
Deep Champagne,#FAD6A5
Deep Chestnut,#B94E48
Deep Coffee,#704241
Deep Dumpling,#9B351B
Deep Fuchsia,#C154C1
Deep Green,#056608
Deep Green-Cyan Turquoise,#0E7C61
Deep Jungle Green,#004B49
Deep Koamaru,#333366
Deep Lemon,#F5C71A
Deep Lilac,#9955BB
Deep Magenta,#CC00CC
Deep Maroon,#820000
Deep Mauve,#D473D4
Deep Moss Green,#355E3B
Deep Peach,#FFCBA4
Deep Pink,#FF1493
Deep Puce,#A95C68
Deep Red,#850101
Deep Ruby,#843F5B
Deep Saffron,#FF9933
Deep Sky Blue,#00BFFF
Deep Space Sparkle,#4A646C
Deep Spring Bud,#556B2F
Deep Taupe,#7E5E60
Deep Tuscan Red,#66424D
Deep Violet,#330066
Deer,#BA8759
Denim,#1560BD
Denim Blue,#2243B6
Desaturated Cyan,#669999
Desert,#C19A6B
Desert Sand,#EDC9AF
Desire,#EA3C53
Diamond,#B9F2FF
Dim Gray,#696969
Dingy Dungeon,#C53151
Dirt,#9B7653
Dirty Brown,#B5651E
Dirty White,#E8E4C9
Dodger Blue,#1E90FF
Dodie Yellow,#FEF65B
Dogwood Rose,#D71868
Dollar Bill,#85BB65
Dolphin Gray,#828E84
Drab,#967117
Duke Blue,#00009C
Dust Storm,#E5CCC9
Dutch White,#EFDFBB
Earth Yellow,#E1A95F
Ebony,#555D50
Ecru,#C2B280
Eerie Black,#1B1B1B
Eggplant,#614051
Eggshell,#F0EAD6
Egyptian Blue,#1034A6
Electric Blue,#7DF9FF
Electric Brown,#B56257
Electric Crimson,#FF003F
Electric Cyan,#00FFFF
Electric Green,#00FF00
Electric Indigo,#6F00FF
Electric Lavender,#F4BBFF
Electric Lime,#CCFF00
Electric Orange,#FF3503
Electric Pink,#F62681
Electric Purple,#BF00FF
Electric Red,#E60000
Electric Ultramarine,#3F00FF
Electric Violet,#8F00FF
Electric Yellow,#FFFF33
Emerald,#50C878
Emerald Green,#046307
Eminence,#6C3082
English Green,#1B4D3E
English Lavender,#B48395
English Red,#AB4B52
English Vermillion,#CC474B
English Violet,#563C5C
Eton Blue,#96C8A2
Eucalyptus,#44D7A8
Fallow,#C19A6B
Falu Red,#801818
Fandango,#B53389
Fandango Pink,#DE5285
Fashion Fuchsia,#F400A1
Fawn,#E5AA70
Feldgrau,#4D5D53
Feldspar,#FDD5B1
Fern Green,#4F7942
Ferrari Red,#FF2800
Field Drab,#6C541E
Fiery Rose,#FF5470
Fire Engine Red,#CE2029
Fire Opal,#E95C4B
Firebrick,#B22222
Flame,#E25822
Flamingo Pink,#FC8EAC
Flattery,#6B4423
Flavescent,#F7E98E
Flax,#EEDC82
Flesh,#FFE9D1
Flirt,#A2006D
Floral White,#FFFAF0
Fluorescent Blue,#15F4EE
Fluorescent Orange,#FFBF00
Fluorescent Pink,#FF1493
Fluorescent Yellow,#CCFF00
Folly,#FF004F
Forest Green (Crayola),#5FA777
Forest Green (Traditional),#014421
Forest Green (Web),#228B22
French Beige,#A67B5B
French Bistre,#856D4D
French Blue,#0072BB
French Fuchsia,#FD3F92
French Lilac,#86608E
French Lime,#9EFD38
French Mauve,#D473D4
French Pink,#FD6C9E
French Plum,#811453
French Puce,#4E1609
French Raspberry,#C72C48
French Rose,#F64A8A
French Sky Blue,#77B5FE
French Violet,#8806CE
French Wine,#AC1E44
Fresh Air,#A6E7FF
Frostbite,#E936A7
Fuchsia,#FF00FF
Fuchsia (Crayola),#C154C1
Fuchsia Pink,#FF77FF
Fuchsia Purple,#CC397B
Fuchsia Rose,#C74375
Fulvous,#E48400
Fuzzy Wuzzy,#CC6666
Gainsboro,#DCDCDC
Gamboge,#E49B0F
Gamboge Orange (Brown),#996600
Garnet,#733635
Gargoyle Gas,#FFDF46
Generic Viridian,#007F66
Ghost White,#F8F8FF
Giant's Club,#B05C52
Giants Orange,#FE5A1D
Glaucous,#6082B6
Glossy Grape,#AB92B3
GO Green,#00AB66
Gold,#A57C00
Gold (Metallic),#D4AF37
Gold (Web) (Golden),#FFD700
Gold (Crayola),#E6BE8A
Gold Fusion,#85754E
Gold Foil,#BD9B16
Golden Brown,#996515
Golden Poppy,#FCC200
Golden Yellow,#FFDF00
Goldenrod,#DAA520
Granite Gray,#676767
Granny Smith Apple,#A8E4A0
Grape,#6F2DA8
Gray (HTML/CSS Gray),#808080
Gray (X11 Gray),#BEBEBE
Gray-Asparagus,#465945
Gray-Blue,#8C92AC
Green,#008001
Green (Color Wheel) (X11 Green),#00FF00
Green (Crayola),#1CAC78
Green (HTML/CSS Color),#008000
Green (Munsell),#00A877
Green (NCS),#009F6B
Green (Pantone),#00AD43
Green (Pigment),#00A550
Green (RYB),#66B032
Green-Blue,#1164B4
Green-Cyan,#009966
Green Lizard,#A7F432
Green Sheen,#6EAEA1
Green-Yellow,#ADFF2F
Grullo,#A99A86
Guppie Green,#00FF7F
Gunmetal,#2a3439
Halayà Úbe,#663854
Halloween Orange,#EB6123
Han Blue,#446CCF
Han Purple,#5218FA
Hansa Yellow,#E9D66B
Harlequin,#3FFF00
Harlequin Green,#46CB18
Harvard Crimson,#C90016
Harvest Gold,#DA9100
Heart Gold,#808000
Heat Wave,#FF7A00
Heidelberg Red[2],#960018
Heliotrope,#DF73FF
Heliotrope Gray,#AA98A9
Heliotrope Magenta,#AA00BB
Hollywood Cerise,#F400A1
Honeydew,#F0FFF0
Honolulu Blue,#006DB0
Hooker's Green,#49796B
Hot Magenta,#FF1DCE
Hot Pink,#FF69B4
Hunter Green,#355E3B
Iceberg,#71A6D2
Icterine,#FCF75E
Iguana Green,#71BC78
Illuminating Emerald,#319177
Imperial,#602F6B
Imperial Blue,#002395
Imperial Purple,#66023C
Imperial Red,#ED2939
Inchworm,#B2EC5D
Independence,#4C516D
India Green,#138808
Indian Red,#CD5C5C
Indian Yellow,#E3A857
Indigo,#4B0082
Indigo Dye,#091F92
Indigo (Rainbow),#233067
Indigo (Web),#4B0082
Infra Red,#FF496C
Interdimensional Blue,#360CCC
International Klein Blue,#002FA7
International Orange (Aerospace),#FF4F00
International Orange (Engineering),#BA160C
International Orange (Golden Gate Bridge),#C0362C
Iris,#5A4FCF
Irresistible,#B3446C
Isabelline,#F4F0EC
Islamic Green,#009000
Italian Sky Blue,#B2FFFF
Ivory,#FFFFF0
Jacarta,#3D325D
Jacko Bean,#413628
Jade,#00A86B
Japanese Carmine,#9D2933
Japanese Indigo,#264348
Japanese Laurel,#2F7532
Japanese Violet,#5B3256
Jasmine,#F8DE7E
Jasper,#D73B3E
Jasper Orange,#DE8F4E
Jazzberry Jam,#A50B5E
Jelly Bean,#DA614E
Jelly Bean Blue,#44798E
Jet,#343434
Jet Stream,#BBD0C9
Jonquil,#F4CA16
Jordy Blue,#8AB9F1
June Bud,#BDDA57
Jungle Green,#29AB87
Kelly Green,#4CBB17
Kenyan Copper,#7C1C05
Keppel,#3AB09E
Key Lime,#E8F48C
Khaki (HTML/CSS) (Khaki),#C3B091
Khaki (X11) (Light Khaki),#F0E68C
Kiwi,#8EE53F
Kobe,#882D17
Kobi,#E79FC4
Kobicha,#6B4423
Kombu Green,#354230
KSU Purple,#512888
KU Crimson,#E8000D
La Salle Green,#087830
Languid Lavender,#D6CADD
Lapis Lazuli,#26619C
Laser Lemon,#FFFF66
Laurel Green,#A9BA9D
Lava,#CF1020
Lavender (Floral),#B57EDC
Lavender (Web),#E6E6FA
Lavender Blue,#CCCCFF
Lavender Blush,#FFF0F5
Lavender Gray,#C4C3D0
Lavender Indigo,#9457EB
Lavender Magenta,#EE82EE
Lavender Mist,#E6E6FA
Lavender Pink,#FBAED2
Lavender Purple,#967BB6
Lavender Rose,#FBA0E3
Lawn Green,#7CFC00
Lemon,#FFF700
Lemon Chiffon,#FFFACD
Lemon Curry,#CCA01D
Lemon Glacier,#FDFF00
Lemon Meringue,#F6EABE
Lemon Yellow,#FFF44F
Lemon Yellow (Crayola),#FFFF9F
Lenurple,#BA93D8
Liberty,#545AA7
Licorice,#1A1110
Light Apricot,#FDD5B1
Light Blue,#ADD8E6
Light Brown,#B5651D
Light Carmine Pink,#E66771
Light Cobalt Blue,#88ACE0
Light Coral,#F08080
Light Cornflower Blue,#93CCEA
Light Crimson,#F56991
Light Cyan,#E0FFFF
Light Deep Pink,#FF5CCD
Light French Beige,#C8AD7F
Light Fuchsia Pink,#F984EF
Light Gold,#B29700
Light Goldenrod Yellow,#FAFAD2
Light Gray,#D3D3D3
Light Grayish Magenta,#CC99CC
Light Green,#90EE90
Light Hot Pink,#FFB3DE
Light Khaki,#F0E68C
Light Medium Orchid,#D39BCB
Light Moss Green,#ADDFAD
Light Orange,#FED8B1
Light Orchid,#E6A8D7
Light Pastel Purple,#B19CD9
Light Periwinkle,#C5CBE1
Light Pink,#FFB6C1
Light Red,#FFCCCB
Light Red Ochre,#E97451
Light Salmon,#FFA07A
Light Salmon Pink,#FF9999
Light Sea Green,#20B2AA
